chemical_id,Background,Excitatory,Refractory
1016,NA,NA,NA
2532,14.3,14.3,19.3
2585,33.3,NA,NA
2587,NA,NA,NA
2589,NA,NA,NA
2590,NA,NA,NA
2594,33.3,11.1,NA
2595,NA,100,NA
2596,NA,NA,0.41
2597,NA,NA,NA
2598,NA,NA,NA
2599,NA,NA,NA
2600,NA,NA,NA
2685,NA,NA,NA
2686,NA,NA,NA
3766,100,66.5,NA
3771,NA,NA,NA
3853,NA,NA,NA
4336,NA,NA,NA
4337,NA,NA,NA
4338,NA,NA,NA
4339,NA,NA,NA
4340,NA,NA,NA
4341,NA,NA,NA
4342,NA,NA,NA
4343,NA,NA,NA
4344,NA,NA,NA
4345,NA,NA,NA
4346,NA,NA,NA
4347,NA,NA,NA
4348,NA,NA,NA
4349,NA,NA,NA
4350,NA,NA,3.7
4351,NA,NA,NA
4352,NA,NA,NA
4353,NA,NA,NA
4354,NA,NA,NA
4355,NA,NA,NA
4356,NA,33.3,NA
4357,NA,NA,NA
4358,NA,0.41,NA
4359,NA,NA,NA
4360,NA,NA,NA
4361,NA,NA,NA
4362,NA,NA,NA
4363,NA,NA,NA
4364,NA,NA,NA
4365,NA,NA,NA
4366,NA,33.3,NA
4367,NA,NA,NA
4368,NA,0.015,NA
4369,NA,NA,NA
4370,NA,NA,NA
4371,NA,NA,NA
4372,NA,NA,NA
4373,NA,NA,NA
4374,NA,NA,NA
4375,NA,NA,NA
4376,NA,NA,NA
4377,NA,66.5,NA
4378,NA,33.3,NA
4379,NA,NA,NA
4380,NA,100,NA
4381,NA,NA,NA
4382,NA,NA,NA
4383,NA,66.5,NA
4384,NA,NA,NA
4385,NA,NA,NA
4386,NA,NA,NA
4387,NA,NA,NA
4388,NA,NA,NA
4390,NA,NA,NA
4391,NA,NA,NA
4392,NA,NA,NA
4393,NA,3.7,NA
4394,66.5,33.3,NA
4395,NA,NA,NA
4396,NA,66.5,NA
4397,NA,NA,NA
4398,NA,NA,0.046
4399,NA,NA,NA
4400,NA,NA,NA
4401,NA,66.5,NA
4402,NA,NA,NA
4403,NA,NA,NA
4404,NA,NA,NA
4405,NA,NA,NA
4406,NA,NA,NA
4407,NA,NA,NA
4408,NA,NA,NA
4410,NA,NA,NA
4411,NA,NA,NA
4412,100,100,NA
4413,NA,NA,NA
4414,NA,NA,NA
4415,NA,NA,NA
4416,NA,NA,NA
4417,NA,NA,NA
4418,NA,NA,NA
4419,NA,NA,NA
4420,NA,NA,NA
4421,NA,NA,NA
4422,NA,NA,NA
4423,NA,NA,NA
4424,NA,NA,NA
4425,NA,NA,0.41
4426,NA,NA,NA
4427,0.046,NA,NA
4428,NA,NA,NA
4429,NA,NA,NA
4430,NA,NA,NA
4431,33.3,33.3,NA
4432,NA,NA,NA
4433,NA,NA,NA
4434,NA,NA,NA
4435,NA,NA,NA
4436,NA,NA,NA
4437,NA,NA,NA
4438,NA,0.015,NA
4439,0.015,NA,NA
4440,NA,NA,NA
4441,NA,NA,NA
4442,NA,NA,NA
4443,NA,NA,NA
4444,0.015,NA,NA
4445,NA,NA,NA
4446,NA,NA,NA
4447,NA,NA,NA
4448,NA,NA,NA
4449,NA,NA,NA
4450,NA,NA,NA
4451,1.23,1.23,NA
4452,66.5,66.5,NA
4453,66.5,33.3,NA
4454,NA,NA,NA
4455,NA,NA,NA
4456,NA,NA,NA
4457,11.1,NA,NA
725,NA,NA,NA
726,NA,NA,NA
