Analysis,Probe.ID,Best.Model,Best.BMD,Best.BMDL,Best.BMDU,Best.fitPValue,Best.AIC,Best.adverseDirection,m.d,LEL-info
2532_epr_gui_BMD,B,Linear,29.1129,27.1801,31.3414,0.6328,15987.99443,-1,34,19.3
2594_epr_gui_BMD,B,Exp 2,4.17463,2.567,70.4558,0.3453,323.9759,1,100,No lel
2594_epr_gui_BMD,E,Poly 2,4.2587,3.34981,10.542,0.06772,606.739762,-1,100,No lel
2686_epr_gui_BMD,E,Power,11.6611,11.237,5802.14,0.8209,663.652839,1,100,No lel
2686_epr_gui_BMD,R,Poly 2,14.3729,12.5176,22.1537,0.4249,224.564132,1,100,No lel
3766_epr_gui_BMD,B,Exp 2,29.501,13.3616,111000,0.4902,396.9295,1,100,No lel
3766_epr_gui_BMD,E,Linear,45.4514,15.6155,1232100,0.5472,735.979923,1,100,No lel
3766_epr_gui_BMD,R,Poly 2,13.8937,12.0659,19.5636,0.9236,281.077096,1,100,No lel
4380_epr_gui_BMD,R,Exp 2,96.5402,82.4316,141.204,0.01221,374.8073,1,100,No lel
4383_epr_gui_BMD,E,Exp 2,80.2182,26.9185,1.00E+06,0.5011,909.5779,-1,100,66.5
4394_epr_gui_BMD,E,Linear,46.3438,23.0819,11100000,0.2481,672.564188,-1,100,No lel
4394_epr_gui_BMD,R,Exp 2,48.0962,28.2629,333000,0.9422,259.4869,1,100,No lel
4431_epr_gui_BMD,B,Poly 2,16.3068,13.2169,37.4328,0.3317,372.731085,1,100,No lel
4431_epr_gui_BMD,E,Linear,22.6909,10.3083,1232100,0.9262,592.400815,-1,100,0.41
4431_epr_gui_BMD,R,Linear,34.2954,12.202,1232100,0.6924,249.923455,1,100,No lel
4436_epr_gui_BMD,E,Poly 2,40.0021,36.1846,47.9249,0.4795,800.286819,1,100,No lel
4451_epr_gui_BMD,E,Poly 3,0.783183,0.547265,3.48579,0.03313,779.951643,1,100,1.23 (All)
4451_epr_gui_BMD,R,Linear,35.267,15.7105,1232100,0.6079,210.429121,-1,100,1.23 (All)
4452_epr_gui_BMD,B,Poly 2,63.8563,54.1924,89.0757,0.788,484.948459,1,100,No lel
4452_epr_gui_BMD,E,Poly 2,55.321,45.8334,83.975,0.2238,825.802485,1,100,No lel
4453_epr_gui_BMD,B,Linear,11.1506,8.00476,18.3604,0.4609,453.72695,1,100,No lel
4453_epr_gui_BMD,E,Exp 2,38.0416,14.23,111000,0.5304,803.1916,-1,100,No lel
4453_epr_gui_BMD,R,Linear,20.3438,11.9903,67.0497,0.3869,245.982953,1,100,No lel
