chemical_id,Light,Dark
1016,3.7,NA
2532,19.3,14.3
2585,NA,NA
2587,NA,NA
2590,66.5,66.5
2594,0.14,3.7
2595,3.7,11.1
2596,NA,NA
2597,NA,NA
2598,NA,NA
2600,100,3.7
2685,33.3,NA
2686,11.1,33.3
3766,33.3,11.1
3771,11.1,NA
3853,NA,NA
4336,33.3,66.5
4337,NA,NA
4338,NA,NA
4339,NA,NA
4340,NA,NA
4341,NA,NA
4342,NA,NA
4343,NA,NA
4344,33.3,NA
4345,NA,41.7
4346,NA,NA
4347,NA,NA
4348,NA,66.5
4349,NA,NA
4350,NA,0.14
4351,NA,66.5
4352,NA,NA
4353,NA,100
4354,NA,NA
4355,NA,NA
4356,NA,NA
4357,NA,NA
4358,NA,NA
4359,NA,NA
4360,NA,NA
4361,NA,NA
4362,NA,NA
4363,NA,NA
4364,NA,NA
4365,NA,NA
4366,NA,NA
4367,NA,33.3
4368,33.3,NA
4369,NA,NA
4370,NA,NA
4371,NA,NA
4372,NA,3.7
4373,100,66.5
4374,NA,NA
4375,NA,NA
4376,NA,NA
4377,NA,NA
4378,0.046,NA
4379,NA,NA
4380,33.3,33.3
4381,NA,NA
4382,NA,NA
4383,NA,NA
4384,NA,NA
4385,NA,33.3
4386,NA,NA
4387,NA,NA
4388,NA,NA
4390,NA,NA
4391,NA,NA
4392,NA,NA
4393,11.1,NA
4394,66.5,66.5
4395,NA,NA
4396,100,66.5
4397,NA,NA
4398,NA,NA
4399,1.23,0.41
4400,NA,NA
4401,100,100
4402,NA,NA
4403,NA,NA
4404,NA,NA
4405,NA,NA
4406,NA,NA
4407,NA,NA
4408,0.046,NA
4410,NA,NA
4411,NA,NA
4412,NA,NA
4413,NA,NA
4414,NA,NA
4415,NA,NA
4416,NA,NA
4417,NA,NA
4418,NA,NA
4419,0.046,NA
4420,NA,NA
4421,NA,NA
4422,33.3,66.5
4423,NA,NA
4424,NA,NA
4425,NA,NA
4426,NA,NA
4427,NA,NA
4428,NA,NA
4429,NA,NA
4430,NA,NA
4431,33.3,33.3
4432,NA,NA
4433,NA,NA
4434,NA,NA
4435,NA,NA
4436,66.5,NA
4437,NA,NA
4438,NA,NA
4439,66.5,66.5
4440,NA,NA
4441,NA,NA
4442,NA,NA
4443,NA,NA
4444,NA,NA
4445,NA,NA
4446,NA,NA
4447,NA,NA
4448,NA,NA
4449,NA,NA
4450,NA,NA
4451,33.3,33.3
4452,66.5,33.3
4453,33.3,33.3
4454,33.3,66.5
4455,NA,NA
4456,NA,NA
725,NA,NA
726,NA,NA
